name,Laasya,,,,,,
race,Human,,,,,,
c_class,Wizard,,,,,,
armor_class,10,,,,,,
prof_bonus,10,,,,,,
passive_wisdom,10,,,,,,
constitution,10,,,,,,
cons_mod,0,,,,,,
charisma,10,,,,,,
char_mod,0,,,,,,
wisdom,10,,,,,,
wis_mod,0,,,,,,
intel,10,,,,,,
int_mod,0,,,,,,
strength,10,,,,,,
str_mod,0,,,,,,
dexterity,10,,,,,,
dex_mod,0,,,,,,
speed,30,,,,,,
max_hp,8,,,,,,
hp,8,,,,,,
hd,8,,,,,,
hd_qty,1,,,,,,
xp,0,,,,,,
level,1,,,,,,  skills: skill list;
skills,,,,,,,  spells: spell list;
spells,,,,,,,  equipped: ((item * quantity) list )* int;
equipped,,,,,,,  inv: ((item * quantity) list )* int;
inv,,,,,,,
money,30,,,,,,
