Level,Proficiency,Sneak Attack,Features
1,2,1d6,Expertise Sneak_Attack Thieves_Cant
2,2,1d6,Cunning_Action
3,2,2d6,Roguish_Archetype
4,2,2d6,Ability_Score_Improvement
5,3,3d6,Uncanny_Dodge
6,3,3d6,Expertise
7,3,4d6,Evasion
8,3,4d6,Ability_Score_Improvement
9,4,5d6,Archetype_Feature
10,4,5d6,Ability_Score_Improvement
11,4,6d6,Reliable_Talent
12,4,6d6,Ability_Score_Improvement
13,5,7d6,Archetype_Feature
14,5,7d6,Blindsense
15,5,8d6,Slippery_Mind
16,5,8d6,Ability_Score_Improvement
17,6,9d6,Archetype_Feature
18,6,9d6,Elusive
19,6,10d6,Ability_Score_Improvement
20,6,10d6,Stroke_of_Luck
